Index,Year,Player,Pos,Age,Tm,G,GS,MP,MPG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,1982,Kareem Abdul-Jabbar,C,34,LAL,76,76,2677,35,23.4,0.608,0.002,0.34,7.3,19.1,13.4,11.9,1.1,4.1,13.3,25.6,6.9,3.9,10.7,0.192,2.9,1.4,4.3,4.2,753,1301,0.579,0,3,0,753,1298,0.58,0.579,312,442,0.706,172,487,659,225,63,207,230,224,1818
2,1982,Alvan Adams,C,27,PHO,79,75,2393,30,18.6,0.529,0.001,0.227,6.6,20.2,13.6,22.1,2.3,1.9,14.8,22.8,2.5,4.7,7.2,0.144,0.9,2.9,3.7,3.5,507,1027,0.494,0,1,0,507,1026,0.494,0.494,182,233,0.781,138,448,586,356,114,78,196,269,1196
3,1982,Mark Aguirre,SF,22,DAL,51,20,1468,29,17.3,0.514,0.087,0.301,6.7,12.9,9.7,18.6,1.2,0.9,12.7,29.8,1,0.8,1.9,0.061,1.8,-1.7,0.1,0.8,381,820,0.465,25,71,0.352,356,749,0.475,0.48,168,247,0.68,89,160,249,164,37,22,135,152,955
4,1982,Danny Ainge,SG,22,BOS,53,1,564,11,10.1,0.439,0.077,0.294,5,5.9,5.5,19.7,3.1,0.3,17.5,21.5,-0.3,0.8,0.5,0.042,-2.6,-0.1,-2.6,-0.1,79,221,0.357,5,17,0.294,74,204,0.363,0.369,56,65,0.862,25,31,56,87,37,3,53,86,219
5,1982,Tiny Archibald,PG,33,BOS,68,51,2167,32,14.3,0.542,0.025,0.485,1.3,4.5,2.9,31.9,1.1,0.1,18.4,17.9,3.4,1.8,5.2,0.115,0.1,-2.5,-2.5,-0.2,308,652,0.472,6,16,0.375,302,636,0.475,0.477,236,316,0.747,25,91,116,541,52,3,178,131,858
6,1982,Dennis Awtrey,C,33,POR,10,3,121,12,1.6,0.396,0,0.6,6.5,6.4,6.5,7.5,0.4,0.9,24,8.5,-0.1,0,0,-0.013,-4.5,-0.4,-4.9,-0.1,5,15,0.333,0,0,0,5,15,0.333,0.333,5,9,0.556,7,7,14,8,1,2,6,28,15
7,1982,Carl Bailey,C,23,POR,1,0,7,7,-6.8,1,0,0,0,0,0,0,0,0,66.7,17.6,0,0,0,-0.268,-10.3,-3.3,-13.6,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2
8,1982,James Bailey,PF,24,TOT,77,0,1468,19,13.3,0.546,0,0.444,9.7,20.3,15,6.3,1.3,3.3,18.7,20.3,0.2,2.7,2.9,0.094,-2.9,1.4,-1.5,0.2,261,505,0.517,0,0,0,261,505,0.517,0.517,137,224,0.612,127,264,391,65,42,83,139,270,659
11,1982,Greg Ballard,SF,27,WSB,79,79,2946,37,17.9,0.519,0.017,0.217,5.1,18.1,11.7,13.1,2.2,0.4,7.7,22,4.1,5.3,9.4,0.154,1.3,2.2,3.5,4.1,621,1307,0.475,9,22,0.409,612,1285,0.476,0.479,235,283,0.83,136,497,633,250,137,22,119,204,1486
12,1982,Gene Banks,SF,22,SAS,80,4,1700,21,14.7,0.515,0.012,0.325,9.9,16,13,11.5,1.5,0.5,12.5,19.9,1.9,1.6,3.5,0.099,0.4,-0.1,0.3,1,311,652,0.477,0,8,0,311,644,0.483,0.477,145,212,0.684,157,254,411,147,55,17,106,199,767
13,1982,Mike Bantom,SF,30,TOT,82,38,2016,25,12.7,0.505,0.008,0.375,9.7,14.4,12.1,8.1,1.5,1.7,15.2,20.2,0.2,2.7,2.9,0.069,-1.6,0.5,-1.1,0.5,334,712,0.469,2,6,0.333,332,706,0.47,0.471,168,267,0.629,174,266,440,114,63,61,149,272,838
16,1982,Billy Ray,SG,25,POR,75,0,1229,16,17.8,0.53,0.059,0.305,4.9,5,4.9,13.9,1.6,0.2,10.6,29.4,1.8,0.6,2.4,0.094,0.8,-3.9,-3.2,-0.4,327,692,0.473,12,41,0.293,315,651,0.484,0.481,166,211,0.787,53,55,108,111,41,5,93,100,832
17,1982,Mel Bennett,PF,27,CLE,3,0,23,8,-2.7,0.377,0,1.5,4.6,10.5,7.4,0,2.1,0,37.6,19.1,-0.1,0,-0.1,-0.27,-12.5,-3,-15.6,-0.1,2,4,0.5,0,0,0,2,4,0.5,0.5,1,6,0.167,1,2,3,0,1,0,4,2,5
18,1982,Kent Benson,C,27,DET,75,72,2467,33,14.4,0.539,0.014,0.197,9.4,19.9,14.5,8.8,1.2,2.2,15.5,16.3,2.2,3,5.2,0.101,-0.3,1.6,1.3,2.1,405,802,0.505,3,11,0.273,402,791,0.508,0.507,127,158,0.804,219,434,653,159,66,98,160,214,940
19,1982,Larry Bird,PF,25,BOS,77,58,2923,38,22.6,0.557,0.037,0.269,7.7,23.4,15.8,22.5,2.3,1.2,13.8,25.2,6.8,5.7,12.5,0.205,4.1,3.3,7.5,7,711,1414,0.503,11,52,0.212,700,1362,0.514,0.507,328,380,0.863,200,637,837,447,143,66,254,244,1761
20,1982,Otis Birdsong,SG,26,NJN,37,22,1025,28,13.3,0.489,0.021,0.265,3.3,7.5,5.3,18.2,1.4,0.3,10.7,23.4,0.5,1.1,1.6,0.074,-0.9,-1.2,-2.1,0,225,480,0.469,0,10,0,225,470,0.479,0.469,74,127,0.583,30,67,97,124,30,5,64,74,524
21,1982,Rolando Blackman,SG,22,DAL,82,16,1979,24,16.2,0.559,0.005,0.323,5.4,9.4,7.3,8.3,1.1,0.9,10.4,22.7,3.2,0.8,4.1,0.098,0.6,-2.2,-1.6,0.2,439,855,0.513,1,4,0.25,438,851,0.515,0.514,212,276,0.768,97,157,254,105,46,30,113,122,1091
22,1982,Ray Blume,SG,23,CHI,49,2,546,11,9.7,0.482,0.081,0.126,3,5.4,4.3,18.9,2,0.2,18.7,22.1,-0.5,0.3,-0.1,-0.013,-3.2,-2.7,-5.9,-0.5,102,222,0.459,4,18,0.222,98,204,0.48,0.468,18,28,0.643,14,27,41,68,23,2,54,57,226
23,1982,Alex Bradley,SF,22,NYK,39,0,331,8,12.4,0.552,0.01,0.466,10.5,12,11.2,4.6,1.7,0.9,18.4,18.9,0.1,0.3,0.4,0.053,-2.2,-1.7,-3.9,-0.2,54,103,0.524,0,1,0,54,102,0.529,0.524,29,48,0.604,31,34,65,11,12,5,28,37,137
24,1982,Charles Bradley,SG,22,BOS,51,1,339,7,8.9,0.509,0.008,0.508,4,8.2,6.2,8.5,2,1,19.9,22,-0.2,0.4,0.2,0.03,-4.1,-0.7,-4.8,-0.2,55,122,0.451,0,1,0,55,121,0.455,0.451,42,62,0.677,12,26,38,22,14,6,37,61,152
25,1982,Dudley Bradley,SG,24,PHO,64,3,937,15,10.9,0.5,0.014,0.356,3.6,6.6,5.1,11.4,4,0.6,17.9,17.4,-0.3,1.7,1.4,0.071,-2.9,1.5,-1.4,0.1,125,281,0.445,1,4,0.25,124,277,0.448,0.447,74,100,0.74,30,57,87,80,78,10,71,115,325
26,1982,Brad Branson,PF,23,CLE,10,3,176,18,8.4,0.463,0,0.231,8.5,13,10.6,4.6,1.4,1.3,18.5,16.5,-0.1,0.1,-0.1,-0.016,-4.3,-0.9,-5.2,-0.1,21,52,0.404,0,0,0,21,52,0.404,0.404,11,12,0.917,14,19,33,6,5,4,13,17,53
27,1982,Mike Bratz,PG,26,SAS,81,3,1616,20,14.2,0.495,0.244,0.269,2.7,8.4,5.5,34.2,1.9,0.4,18,19,1.5,1.2,2.7,0.081,0.6,-1.8,-1.2,0.3,230,565,0.407,46,138,0.333,184,427,0.431,0.448,119,152,0.783,40,126,166,438,65,11,139,183,625
28,1982,Jim Brewer,PF,30,LAL,71,9,966,14,10.1,0.464,0.034,0.109,12.4,17.2,14.9,4.8,1.9,2.5,16.8,9.1,0.4,1.4,1.8,0.088,-2.1,2.1,0.1,0.5,81,175,0.463,1,6,0.167,80,169,0.473,0.466,7,19,0.368,106,158,264,42,39,46,37,127,170
29,1982,Ron Brewer,SG,26,TOT,72,45,2319,32,15.9,0.519,0.026,0.218,2.5,5.3,3.9,12.8,1.7,0.7,8.7,25.2,2.6,0.7,3.3,0.068,0.9,-2.2,-1.3,0.4,569,1194,0.477,8,31,0.258,561,1163,0.482,0.48,211,260,0.812,55,106,161,188,82,30,125,151,1357
32,1982,Junior Bridgeman,SF,28,MIL,41,4,924,23,16,0.534,0.021,0.238,4.8,10.5,7.8,17.6,1.5,0.2,11.8,24.1,1.4,1.2,2.6,0.136,0.3,-1.2,-0.9,0.3,209,433,0.483,4,9,0.444,205,424,0.483,0.487,89,103,0.864,37,88,125,109,28,3,64,91,511
33,1982,Allan Bristow,SF,30,DAL,82,54,2035,25,12.6,0.502,0.036,0.329,6.5,12.8,9.5,29.3,1.6,0.2,22.4,14.9,1.3,1.2,2.5,0.059,-0.5,-0.1,-0.6,0.7,218,499,0.437,3,18,0.167,215,481,0.447,0.44,134,164,0.817,119,220,339,448,65,6,165,222,573
34,1982,Jim Brogan,SG,23,SDC,63,19,1027,16,13,0.499,0.088,0.231,6.9,7,7,20.6,2.3,0.7,17.2,19.2,0.6,0.2,0.8,0.035,-0.1,-1.5,-1.6,0.1,165,364,0.453,9,32,0.281,156,332,0.47,0.466,61,84,0.726,61,59,120,156,49,13,83,123,400
35,1982,Michael Brooks,SF,23,SDC,82,73,2750,34,16.1,0.539,0.007,0.25,8.7,18.6,13.5,12.2,1.9,0.8,14.3,20.4,3.4,1.2,4.5,0.079,1,0,1,2.1,537,1066,0.504,0,7,0,537,1059,0.507,0.504,202,267,0.757,207,417,624,236,113,39,197,285,1276
36,1982,Fred Brown,SG,33,SEA,82,2,1785,22,15.2,0.501,0.089,0.149,2.6,5.8,4.3,20.1,1.9,0.1,9.5,23.6,1.7,2.2,3.9,0.104,0.1,-1.6,-1.5,0.2,393,863,0.455,25,77,0.325,368,786,0.468,0.47,111,129,0.86,42,98,140,238,69,4,96,111,922
37,1982,Rickey Brown,C,23,GSW,82,11,1260,15,11.2,0.498,0,0.292,11.6,20.1,15.8,2,1.4,1.3,15.1,17.8,0.4,1.4,1.8,0.068,-3.1,-1.4,-4.6,-0.8,192,418,0.459,0,0,0,192,418,0.459,0.459,86,122,0.705,136,228,364,19,36,29,84,243,470
38,1982,Joe Bryant,SF,27,SDC,75,49,1988,27,12.8,0.546,0.043,0.352,4.6,12,8.2,13.1,1.9,0.8,18.4,20.3,1,0.5,1.5,0.036,-0.7,-0.9,-1.7,0.2,341,701,0.486,8,30,0.267,333,671,0.496,0.492,194,247,0.785,79,195,274,189,78,29,183,250,884
39,1982,Quinn Buckner,PG,27,MIL,70,70,2156,31,14.4,0.506,0.018,0.204,4.3,8.9,6.6,21.4,3.9,0.1,16.7,20.5,0.7,3.9,4.6,0.103,-0.2,1.8,1.6,2,396,822,0.482,4,15,0.267,392,807,0.486,0.484,110,168,0.655,77,173,250,328,174,3,180,218,906
40,1982,Roger Burkman,SG,23,CHI,6,0,30,5,15.5,0.377,0.25,1.5,7.9,14.5,11.3,19.7,9.7,3.7,31.1,13.5,0,0.1,0.1,0.093,-2,9.2,7.1,0.1,0,4,0,0,1,0,0,3,0,0,5,6,0.833,2,4,6,5,6,2,3,6,5
41,1982,David Burns,PG,23,TOT,9,1,87,10,3.6,0.509,0,0.938,1.3,5,3.1,19.5,1.5,0,36.5,15.8,-0.2,0,-0.1,-0.071,-6.4,-2.9,-9.4,-0.2,7,16,0.438,0,0,0,7,16,0.438,0.438,9,15,0.6,1,4,5,15,3,0,13,17,23
44,1982,Don Buse,PG,31,IND,82,78,2529,31,14.8,0.539,0.276,0.18,1.9,7.8,4.8,22.5,3.2,0.6,11.4,13.7,3.7,3.4,7.1,0.135,1.3,1.3,2.6,2.9,312,685,0.455,73,189,0.386,239,496,0.482,0.509,100,123,0.813,46,177,223,407,164,27,95,176,797
