Index,Year,Player,Pos,Age,Tm,G,GS,MP,MPG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2660,1989,Kareem Abdul-Jabbar,C,41,LAL,74,74,1695,23,12.9,0.511,0.005,0.25,7.3,14.2,11,6.1,1.1,2.9,11.5,20.1,0.9,2,2.9,0.082,-2.3,0,-2.3,-0.1,313,659,0.475,0,3,0,313,656,0.477,0.475,122,165,0.739,103,231,334,74,38,85,95,196,748
2661,1989,Mark Acres,C,26,BOS,62,0,632,10,8.2,0.507,0.009,0.421,10.9,15.6,13.3,3.7,1.5,0.6,14.5,10.4,0.4,0.5,0.9,0.066,-2.1,-0.4,-2.5,-0.1,55,114,0.482,1,1,1,54,113,0.478,0.487,26,48,0.542,59,87,146,19,19,6,23,94,137
2662,1989,Michael Adams,PG,26,DEN,77,77,2787,36,17.5,0.567,0.431,0.363,2.5,8.3,5.2,22.2,2.7,0.2,12.5,19.7,5.4,2.9,8.3,0.143,3.8,-0.6,3.2,3.7,468,1082,0.433,166,466,0.356,302,616,0.49,0.509,322,393,0.819,71,212,283,490,166,11,180,149,1424
2663,1989,Mark Aguirre,SF,29,TOT,80,76,2597,32,16.4,0.524,0.137,0.309,6.4,10,8.3,17.9,0.9,0.8,12.6,27.4,2.4,2.1,4.5,0.082,1.7,-1.2,0.5,1.7,586,1270,0.461,51,174,0.293,535,1096,0.488,0.481,288,393,0.733,146,240,386,278,45,36,208,229,1511
2666,1989,Danny Ainge,PG,29,TOT,73,54,2377,33,18,0.554,0.29,0.228,3.3,8.7,6,25.3,1.9,0.2,11.1,22.6,5.2,1.4,6.7,0.135,4,-1.6,2.3,2.6,480,1051,0.457,116,305,0.38,364,746,0.488,0.512,205,240,0.854,71,184,255,402,93,8,145,186,1281
2669,1989,Mark Alarie,PF,25,WSB,74,5,1141,15,13.3,0.531,0.088,0.202,9.5,15.2,12.2,7.8,1,1.1,11.7,18.7,1.2,1,2.2,0.093,-0.7,-1,-1.8,0.1,206,431,0.478,13,38,0.342,193,393,0.491,0.493,73,87,0.839,103,152,255,63,25,22,62,160,498
2670,1989,Steve Alford,PG,24,TOT,66,3,906,14,11.9,0.522,0.17,0.188,1.1,6.8,4,13.2,2.2,0.2,11.4,16.6,0.7,0.7,1.4,0.072,-1.7,-1.8,-3.5,-0.3,148,324,0.457,20,55,0.364,128,269,0.476,0.488,50,61,0.82,10,62,72,92,45,3,45,57,366
2673,1989,Randy Allen,SG,24,SAC,7,0,43,6,6.9,0.428,0.053,0.105,7.4,10.2,8.7,0,1.1,1.3,9.1,20.9,-0.1,0,0,-0.035,-7.1,-5.2,-12.4,-0.1,8,19,0.421,0,1,0,8,18,0.444,0.421,1,2,0.5,3,4,7,0,1,1,2,7,17
2674,1989,Greg Anderson,PF,24,SAS,82,56,2401,29,14.9,0.516,0.003,0.441,11.2,20.2,15.5,3.7,2,2.6,14.2,20.6,0.4,3.1,3.4,0.069,-2.4,-0.1,-2.5,-0.3,460,914,0.503,0,3,0,460,911,0.505,0.503,207,403,0.514,255,421,676,61,102,103,180,221,1127
2675,1989,Michael Anderson,PG,22,SAS,36,12,730,20,10.5,0.483,0.04,0.469,6.3,7.1,6.7,26.9,2.8,0.2,28.5,15.7,-0.5,0.6,0.2,0.01,-3,-0.4,-3.4,-0.3,73,175,0.417,1,7,0.143,72,168,0.429,0.42,57,82,0.695,44,45,89,153,44,3,84,64,204
2676,1989,Richard Anderson,PF,28,POR,72,3,1082,15,12,0.509,0.405,0.109,6,17.5,11.6,11.4,1.9,0.6,12.9,14.9,0.9,1.2,2.1,0.093,-0.7,0,-0.7,0.4,145,348,0.417,49,141,0.348,96,207,0.464,0.487,32,38,0.842,62,169,231,98,44,12,54,100,371
2677,1989,Ron Anderson,SF,30,PHI,82,12,2618,32,15.3,0.531,0.01,0.199,7.1,10.3,8.7,7.9,1.3,0.5,9.1,21.9,3.5,0.9,4.4,0.081,0.7,-1.7,-1,0.7,566,1152,0.491,2,11,0.182,564,1141,0.494,0.492,196,229,0.856,167,239,406,139,71,23,126,166,1330
2678,1989,Willie Anderson,SF,22,SAS,81,79,2738,34,16.6,0.534,0.016,0.225,5.8,11.1,8.4,21.1,2.5,1.4,15.6,23.8,2.1,2.8,4.9,0.085,0.9,0.6,1.5,2.4,640,1285,0.498,4,21,0.19,636,1264,0.503,0.5,224,289,0.775,152,265,417,372,150,62,261,295,1508
2679,1989,John Bagley,PG,28,NJN,68,20,1642,24,11.3,0.467,0.112,0.256,2.4,7.6,4.9,33.1,2.1,0.2,22.9,17.3,-0.6,1,0.4,0.013,-2.5,-1.5,-4,-0.8,200,481,0.416,11,54,0.204,189,427,0.443,0.427,89,123,0.724,36,108,144,391,72,5,159,117,500
2680,1989,Thurl Bailey,SF,27,UTA,82,3,2777,34,15.6,0.544,0.004,0.346,5,12.3,8.9,8.5,0.8,2,12.4,25.5,2.4,4.1,6.5,0.113,-1.1,0.3,-0.8,0.8,615,1272,0.483,2,5,0.4,613,1267,0.484,0.484,363,440,0.825,115,332,447,138,48,91,208,185,1595
2681,1989,Greg Ballard,SF,34,SEA,2,0,15,8,7.1,0.307,0.125,0.5,14.5,38.5,26.1,0,0,0,0,25.9,0,0,0,0.021,-10.7,-11.3,-21.9,-0.1,1,8,0.125,0,1,0,1,7,0.143,0.125,4,4,1,2,5,7,0,0,0,0,3,6
2682,1989,Ken Bannister,PF,28,LAC,9,2,130,14,17.9,0.624,0.028,1.472,4.9,22.1,13.6,3.2,2.5,0.9,11.9,20.4,0.3,0.2,0.4,0.15,-1.7,-2,-3.7,-0.1,22,36,0.611,0,1,0,22,35,0.629,0.611,30,53,0.566,6,27,33,3,7,2,8,17,74
2683,1989,Charles Barkley,PF,25,PHI,79,79,3088,39,27,0.653,0.134,0.661,14.5,21.3,17.9,16,2,1.3,14,24.4,13.2,2.9,16.1,0.25,8.5,1.3,9.8,9.2,700,1208,0.579,35,162,0.216,665,1046,0.636,0.594,602,799,0.753,403,583,986,325,126,67,254,262,2037
2684,1989,John Battle,SG,26,ATL,82,0,1672,20,13.5,0.532,0.054,0.379,1.9,7.3,4.6,17.1,1.2,0.3,12.4,20.4,2.2,1,3.2,0.092,-0.4,-2.1,-2.5,-0.2,287,628,0.457,11,34,0.324,276,594,0.465,0.466,194,238,0.815,30,110,140,197,42,9,104,125,779
